Timestamp,PM2.5,Temperature,Humidity,Soil_Moisture,Biodiversity_Index,Nutrient_Level,Water_Quality,Air_Quality_Index,Pollution_Level,Soil_pH,Dissolved_Oxygen,Chemical_Oxygen_Demand,Biochemical_Oxygen_Demand,Total_Dissolved_Solids,Ecological_Health_Label
2018-01-01 00:00:00,119.68396949346183,21.88582826784701,53.955602677343734,22.47978411308143,9,50,0,82.59492848705489,Low,5.284388294168062,6.555422432450577,24.11972892727704,9.73133560475279,44.79405504497619,Ecologically Healthy
2018-01-01 01:00:00,74.72323651077937,19.079563674863838,54.298952029402614,23.980314321161206,9,0,0,127.41848403138505,Moderate,6.107887490623757,7.5426076495366985,164.5849555273063,178.79360244394263,205.78701838141671,Ecologically Stable
2018-01-01 02:00:00,69.11417921854768,26.675868597849306,98.99122239709898,11.566319038501375,7,50,0,95.21541885818964,Low,8.36157617261117,6.821085240118288,24.818365757128436,25.33288626712642,448.3867577921339,Ecologically Healthy
2018-01-01 03:00:00,69.11511471659003,20.170066328995915,36.41645970345206,36.144569499065035,10,0,0,65.53426970093444,Low,7.92976578469351,7.421998599194271,248.72787973789588,58.94012792050836,359.2593827684935,Ecologically Healthy
2018-01-01 04:00:00,232.48572061153254,21.915745200239222,79.35562468027564,43.53254080905471,11,0,1,80.31495632293326,Low,5.378418493944895,7.2318678336575895,271.0623375950484,106.11366338625126,118.3036604066327,Ecologically Critical
2018-01-01 05:00:00,143.3353115482111,15.021385179665616,96.33045929098851,37.930729162182296,12,0,0,102.10155132906004,Low,5.579343943877647,7.229230575341893,280.21082134695894,120.85935856875368,84.70938242721665,Ecologically Healthy
2018-01-01 06:00:00,56.55390008704495,22.946270298507315,73.71030009984554,40.767319957446965,7,0,0,84.88673256374913,Low,6.001308324423489,5.920145747029343,53.976623080262506,147.7809660987425,331.1483300773789,Ecologically Stable
2018-01-01 07:00:00,123.49072367156066,15.337928155663754,87.00562683267727,19.95596094378602,17,50,1,77.74736524075072,High,6.149443779242246,8.751127612700293,136.06773168550563,61.41602016307321,153.08617032112554,Ecologically Degraded
2018-01-01 08:00:00,99.94801320323235,7.948809605048988,41.718545509964756,11.177830325737414,9,0,0,77.70951559158064,High,8.270204592953835,7.820768468751011,136.95207646738427,151.02817627526483,430.5309877661993,Ecologically Healthy
2018-01-01 09:00:00,10.79574717452927,22.572905758688805,52.97977928130249,40.64787421328479,9,0,0,101.99050597778653,Low,7.258345275167183,7.613868119963705,60.54781378407,82.21111587719554,290.07164192495156,Ecologically Stable
